Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
.hack//Infection Part 1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,CyberConnect2,T
.hack//Mutation Part 2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T
New Game,1996,Random Genre,Random Publisher,,,,,,,,0.3834892012664432,,Random Developer,Random Rating
New Game,1994,Random Genre,Random Publisher,,,0.5926128439734881,0.3085320098267965,,74.0,,,,Random Developer,Random Rating
New Game,1995,Random Genre,Random Publisher,,,0.1888220218206642,1.8143860770017464,0.877070026880727,,31.0,,89.0,Random Developer,Random Rating
New Game,2010,Random Genre,Random Publisher,,,0.2003966451001697,,,0.0,,0.5587984591777642,687.0,Random Developer,Random Rating
.hack//Outbreak Part 3,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70.0,23.0,8.7,19.0,CyberConnect2,T
New Game,2009,Random Genre,Random Publisher,,,1.148847799990206,,,,,,,Random Developer,Random Rating
[Prototype],2009,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,Radical Entertainment,M
[Prototype],2009,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,Radical Entertainment,M
[Prototype 2],d,Action,Activision,0.48,0.24,0.0,0.07,0.79,74.0,69.0,7.0,173.0,Radical Entertainment,M
New Game,1998,Random Genre,Random Publisher,0.2345653990853464,1.4331778925286194,1.1152049023060069,,,24.0,65.0,1.6619440913698145,295.0,Random Developer,Random Rating
[Prototype 2],d,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,39.0,6.8,179.0,Radical Entertainment,M
New Game,2002,Random Genre,Random Publisher,,,,,0.7139887002989633,65.0,,0.1044204785419267,,Random Developer,Random Rating
[Prototype 2],d,Action,Activision,0.07,0.03,0.0,0.01,0.11,76.0,12.0,6.4,389.0,Radical Entertainment,M
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.0,69.0,7.1,71.0,Treyarch,T
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,Treyarch,T
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,Treyarch,T
New Game,1999,Random Genre,Random Publisher,1.960029981848376,0.8500905296966332,,,1.1479920513259962,,,,967.0,Random Developer,Random Rating
New Game,2017,Random Genre,Random Publisher,0.7366045118879374,1.1284177661456938,1.0283328993360588,,1.456567345123154,,,,318.0,Random Developer,Random Rating
007: Quantum of Solace,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,70.0,18.0,6.3,55.0,Treyarch,T
New Game,2011,Random Genre,Random Publisher,0.7720581842443743,1.3098838846267609,,,,45.0,,,109.0,Random Developer,Random Rating
New Game,1993,Random Genre,Random Publisher,,,,0.6180128571856338,,11.0,,,935.0,Random Developer,Random Rating
New Game,1990,Random Genre,Random Publisher,0.9333371175111718,1.0760149480750514,,,0.0174199172185001,,98.0,0.7123548961000516,,Random Developer,Random Rating
New Game,1999,Random Genre,Random Publisher,,,1.777406649366221,0.3202961965903914,,,,1.5784365649589571,,Random Developer,Random Rating
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,Black Ops Entertainment,T
007 Racing,2000,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51.0,16.0,4.6,14.0,Eutechnyx,T
100 Classic Books,2008,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6.0,12.0,Genius Sonority Inc.,
New Game,2008,Random Genre,Random Publisher,,1.652034038985943,,1.4483268217419445,,63.0,25.0,,,Random Developer,Random Rating
15 Days,2009,Adventure,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,63.0,6.0,5.8,8.0,DTP Entertainment,
1701 A.D.,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0,Related Designs,E10+
New Game,2019,Random Genre,Random Publisher,1.2676647939382193,,1.2498936355385322,,1.5090305165942652,,32.0,1.466446473214669,,Random Developer,Random Rating
187: Ride or Die,2005,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,52.0,33.0,6.8,12.0,Ubisoft,M
New Game,1991,Random Genre,Random Publisher,,1.858182786680586,0.0630241649856822,,1.6791256352449064,,,,,Random Developer,Random Rating
New Game,1994,Random Genre,Random Publisher,,,0.7996195637669747,,,91.0,,0.4760762833962064,,Random Developer,Random Rating
187: Ride or Die,2005,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,40.0,6.9,8.0,Ubisoft Paris,M
18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61.0,11.0,5.7,18.0,Acclaim Studios Cheltenham,E
New Game,2022,Random Genre,Random Publisher,0.2274988537815625,1.829413254478332,,0.1332203414438288,,,,1.000438729000304,840.0,Random Developer,Random Rating
18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52.0,17.0,6.8,8.0,Acclaim Studios Cheltenham,E
1 vs. 100,2008,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0,ECI,E
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports,E
New Game,2014,Random Genre,Random Publisher,1.7715237694877124,,1.68328016044292,,1.944236668266624,,,0.4390870342409729,337.0,Random Developer,Random Rating
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,79.0,17.0,9.0,4.0,Software Creations,E
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,78.0,9.0,7.7,6.0,EA Sports,E
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,EA Canada,E
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0,Electronic Arts,E
New Game,1992,Random Genre,Random Publisher,0.3785457371019467,,,1.2623672784688469,,,79.0,1.565412571260218,567.0,Random Developer,Random Rating
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69.0,11.0,7.4,9.0,Electronic Arts,E
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70.0,19.0,6.7,11.0,Electronic Arts,E
New Game,2008,Random Genre,Random Publisher,1.521681958028032,,,1.4042160197244973,1.44181620275543,,,,695.0,Random Developer,Random Rating
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,29.0,4.4,93.0,EA Canada,E
New Game,2017,Random Genre,Random Publisher,,1.6213454783157768,1.8427341510640831,,1.467384544417943,7.0,79.0,,,Random Developer,Random Rating
New Game,2001,Random Genre,Random Publisher,,,,,,84.0,83.0,,,Random Developer,Random Rating
24: The Game,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,53.0,8.2,40.0,SCE Studio Cambridge,M
25 to Life,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39.0,23.0,4.9,46.0,"Ritual Entertainment, Avalanche Software",M
25 to Life,2006,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,20.0,7.2,13.0,"Ritual Entertainment, Avalanche Software",M
